Variable                       |Posición|Etiqueta                                                                                                |Nivel de medición|Rol    |Ancho de columna|Alineación|Formato de impresión|Formato de grabación|Valores perdidos|
Asiste_jardin                  |424     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Mismo_jardin                   |425     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Asistio_regular_jardin         |426     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Hospitalización                |427     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Diag_enfermedad                |428     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Enfermedad                     |429     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Izquierda |A100                |A100                |                |
Enf_recurrentes                |430     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
edad_igA1                      |431     |edad muestra igA 1dia                                                                                   |Escala           |Entrada|5               |Derecha   |F5                  |F5                  |                |
edad_igA2                      |432     |edad igA 2 dia                                                                                          |Escala           |Entrada|5               |Derecha   |F5                  |F5                  |                |
igA1_1                         |433     |concentracion igA dia 1 media mañana                                                                    |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
igA1_2                         |434     |concentracion igA dia 1 media tarde                                                                     |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
igA2_1                         |435     |concentracion igA dia 2 media mañana                                                                    |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
igA2_2                         |436     |concentracion igA dia 2 media tarde                                                                     |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
VAR00001                       |437     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
wellbeing_recoded              |438     |<ninguno>                                                                                               |Nominal          |Entrada|19              |Derecha   |F8.2                |F8.2                |                |
ID_2020                        |439     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
ads_m_i_pv                     |440     |ads pedro pablo y victoria                                                                              |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_v_i_pv                     |441     |ads pedro pablo y victoria                                                                              |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_ta_i_pv                    |442     |ads pedro pablo y victoria                                                                              |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_sa_i_pv                    |443     |ads pedro pablo y victoria                                                                              |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_a_i_pv                     |444     |ads pedro pablo y victoria                                                                              |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_p_i_pv                     |445     |ads pedro pablo y victoria                                                                              |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_m_i_pv_2                   |446     |<ninguno>                                                                                               |Nominal          |Entrada|7               |Derecha   |F8.2                |F8.2                |                |
ads_ta_i_pv_2                  |447     |<ninguno>                                                                                               |Nominal          |Entrada|7               |Derecha   |F8.2                |F8.2                |                |
ads_a_i_pv_2                   |448     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_m_i_pv_2_r                 |449     |mirada bebe recodificada en 0 o 1                                                                       |Nominal          |Entrada|7               |Derecha   |F8.2                |F8.2                |                |
ads_v_i_pv_r                   |450     |recodificacion en 0 1                                                                                   |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_ta_i_pv_2_r                |451     |recodificaion tacto en 0 1                                                                              |Nominal          |Entrada|9               |Derecha   |F8.2                |F8.2                |                |
ads_sa_i_pv_r                  |452     |recodificaion sosten en 0 1                                                                             |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_a_i_pv_2_r                 |453     |recodificaion afecto en 0 1                                                                             |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ads_p_i_pv_r                   |454     |recodificaion sosten en 0 1                                                                             |Nominal          |Entrada|6               |Derecha   |F8.2                |F8.2                |                |
countinsecurei_2020            |455     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
countsecurei_2020              |456     |<ninguno>                                                                                               |Nominal          |Entrada|9               |Derecha   |F8.2                |F8.2                |999,00          |
ADS2i_2020                     |457     |<ninguno>                                                                                               |Nominal          |Entrada|6               |Derecha   |F8.2                |F8.2                |999,00          |
